issue_d,loan_amnt,int_rate,term,grade,home_ownership,purpose,annual_inc,dti,fico,loan_status
2016-01-01,32939,11.01, 36 months,C,OWN,debt_consolidation,49906.0,4.46,770,Fully Paid
2016-01-01,24044,5.0, 36 months,A,OWN,credit_card,76154.0,16.89,668,Fully Paid
2016-01-01,18405,6.52, 60 months,B,MORTGAGE,debt_consolidation,64901.0,3.6,763,Fully Paid
2016-01-01,26988,12.64, 36 months,C,MORTGAGE,credit_card,54395.0,5.55,667,Fully Paid
2016-01-01,13139,5.0, 36 months,A,RENT,debt_consolidation,79068.0,19.67,801,Fully Paid
2016-01-01,21384,26.97, 36 months,G,RENT,debt_consolidation,119767.0,6.97,601,Charged Off
2016-01-01,9523,11.59, 36 months,C,MORTGAGE,debt_consolidation,125509.0,9.13,736,Fully Paid
2016-01-01,34670,18.38, 36 months,E,RENT,home_improvement,96004.0,6.93,635,Charged Off
2016-01-01,28917,14.2, 36 months,D,RENT,debt_consolidation,123429.0,6.46,743,Fully Paid
2016-01-01,33084,7.79, 36 months,B,RENT,debt_consolidation,68125.0,13.22,691,Fully Paid
2016-01-01,6535,12.44, 36 months,C,RENT,home_improvement,66526.0,16.04,723,Fully Paid
2016-01-01,14557,5.0, 60 months,A,MORTGAGE,debt_consolidation,79720.0,10.45,784,Fully Paid
2016-01-01,3394,15.78, 60 months,D,OWN,credit_card,123055.0,20.22,653,Charged Off
2016-01-01,4049,19.95, 36 months,E,RENT,other,84683.0,21.87,636,Fully Paid
2016-01-01,27119,5.44, 36 months,B,MORTGAGE,credit_card,59993.0,21.04,766,Fully Paid
2016-01-01,31644,15.66, 36 months,E,RENT,credit_card,97704.0,16.7,843,Fully Paid
2016-01-01,6093,14.45, 36 months,D,MORTGAGE,debt_consolidation,51812.0,19.59,757,Fully Paid
2016-01-01,9746,5.0, 60 months,A,RENT,credit_card,144769.0,16.52,720,Fully Paid
2016-01-01,33384,5.0, 36 months,A,RENT,debt_consolidation,46103.0,24.91,714,Fully Paid
2016-01-01,29657,5.0, 36 months,A,RENT,debt_consolidation,80397.0,13.38,718,Fully Paid
2016-01-01,26201,14.92, 36 months,D,MORTGAGE,debt_consolidation,83831.0,17.91,678,Charged Off
2016-01-01,7133,7.88, 36 months,B,MORTGAGE,debt_consolidation,72690.0,13.19,767,Fully Paid
2016-01-01,17886,5.34, 36 months,B,OWN,debt_consolidation,48556.0,0.0,805,Fully Paid
2016-01-01,32962,5.0, 36 months,A,MORTGAGE,home_improvement,80286.0,0.01,624,Fully Paid
2016-01-01,22087,6.38, 36 months,B,RENT,home_improvement,61181.0,29.38,754,Fully Paid
2016-01-01,30388,6.27, 60 months,B,MORTGAGE,credit_card,64624.0,0.0,753,Fully Paid
2016-01-01,7071,5.0, 36 months,A,OWN,debt_consolidation,95582.0,4.41,621,Fully Paid
2016-01-01,6202,15.34, 36 months,D,MORTGAGE,credit_card,19230.0,13.39,666,Fully Paid
2016-01-01,5995,16.83, 36 months,E,RENT,debt_consolidation,49288.0,30.91,756,Charged Off
2016-01-01,6151,13.19, 36 months,C,RENT,home_improvement,77112.0,16.79,693,Fully Paid
2016-01-01,14565,16.46, 36 months,D,RENT,debt_consolidation,62826.0,14.65,661,Fully Paid
2016-01-01,15255,15.72, 36 months,D,MORTGAGE,debt_consolidation,125526.0,25.16,728,Fully Paid
2016-01-01,24684,5.48, 60 months,B,OWN,other,46685.0,22.73,772,Fully Paid
2016-01-01,20584,5.0, 36 months,A,OWN,credit_card,76710.0,14.88,620,Fully Paid
2016-01-01,31432,5.0, 36 months,A,RENT,debt_consolidation,43665.0,22.88,684,Charged Off
2016-01-01,25676,7.6, 36 months,B,OWN,debt_consolidation,77786.0,19.67,769,Fully Paid
2016-01-01,26465,5.0, 60 months,A,RENT,debt_consolidation,79234.0,16.67,726,Fully Paid
2016-01-01,27304,13.31, 60 months,C,OWN,debt_consolidation,58087.0,1.35,618,Fully Paid
2016-01-01,5151,10.4, 36 months,C,MORTGAGE,debt_consolidation,111748.0,15.78,830,Fully Paid
2016-01-01,22919,26.22, 36 months,G,OWN,credit_card,84687.0,6.98,696,Fully Paid
2016-01-01,13358,11.39, 36 months,C,RENT,small_business,90398.0,18.83,711,Fully Paid
2016-01-01,11410,19.77, 36 months,F,MORTGAGE,small_business,58777.0,27.53,649,Fully Paid
2016-01-01,31435,6.53, 60 months,B,RENT,home_improvement,88804.0,9.36,750,Fully Paid
2016-01-01,1723,12.24, 60 months,C,OWN,other,98004.0,18.76,744,Fully Paid
2016-02-01,20750,12.02, 36 months,C,OWN,debt_consolidation,76404.0,11.57,664,Charged Off
2016-02-01,1746,15.67, 60 months,D,RENT,debt_consolidation,60192.0,13.98,614,Charged Off
2016-02-01,17860,7.63, 60 months,B,OWN,other,108738.0,5.72,701,Fully Paid
2016-02-01,4158,14.19, 36 months,D,MORTGAGE,small_business,58425.0,25.43,831,Fully Paid
2016-02-01,8185,18.29, 36 months,E,MORTGAGE,other,67594.0,13.3,695,Fully Paid
2016-02-01,26980,13.97, 36 months,C,MORTGAGE,credit_card,79311.0,20.23,626,Fully Paid
2016-02-01,28847,5.0, 60 months,A,MORTGAGE,small_business,133028.0,19.71,607,Charged Off
2016-02-01,16509,5.0, 60 months,A,MORTGAGE,small_business,74400.0,20.04,759,Fully Paid
2016-02-01,16551,5.0, 36 months,A,RENT,debt_consolidation,80253.0,20.58,650,Fully Paid
2016-02-01,5068,20.93, 36 months,F,OWN,credit_card,74484.0,6.36,688,Charged Off
2016-02-01,33074,5.23, 36 months,B,MORTGAGE,other,104092.0,0.81,791,Fully Paid
2016-02-01,18927,5.0, 36 months,A,OWN,debt_consolidation,123533.0,17.38,703,Fully Paid
2016-02-01,16552,5.0, 36 months,A,RENT,debt_consolidation,74837.0,18.88,686,Fully Paid
2016-02-01,10427,14.17, 36 months,D,RENT,small_business,77945.0,3.49,722,Charged Off
2016-02-01,7355,5.0, 36 months,A,MORTGAGE,credit_card,98332.0,17.29,777,Fully Paid
2016-02-01,29697,5.0, 36 months,A,RENT,credit_card,105055.0,2.47,662,Fully Paid
2016-02-01,19474,5.0, 60 months,A,RENT,small_business,106094.0,18.92,821,Fully Paid
2016-02-01,13187,7.99, 60 months,B,MORTGAGE,other,111420.0,38.0,725,Charged Off
2016-02-01,10518,13.32, 36 months,D,RENT,debt_consolidation,98478.0,7.82,830,Fully Paid
2016-02-01,31645,11.77, 36 months,C,MORTGAGE,debt_consolidation,103475.0,10.98,741,Fully Paid
2016-02-01,6407,5.0, 36 months,A,RENT,debt_consolidation,59186.0,30.69,694,Fully Paid
2016-02-01,31231,18.09, 36 months,E,RENT,credit_card,90882.0,23.99,608,Fully Paid
2016-02-01,32752,14.3, 36 months,D,RENT,credit_card,76091.0,6.12,737,Fully Paid
2016-02-01,2026,20.72, 36 months,E,MORTGAGE,debt_consolidation,76895.0,0.0,604,Charged Off
2016-02-01,19500,13.8, 36 months,C,MORTGAGE,other,74451.0,4.99,631,Fully Paid
2016-02-01,27209,23.47, 36 months,G,MORTGAGE,other,111942.0,2.9,774,Fully Paid
2016-02-01,23962,18.51, 36 months,E,MORTGAGE,debt_consolidation,56604.0,15.15,732,Fully Paid
2016-02-01,30173,7.81, 36 months,B,RENT,credit_card,71003.0,12.55,766,Fully Paid
2016-02-01,11015,10.57, 36 months,C,OWN,debt_consolidation,75689.0,6.38,821,Fully Paid
2016-02-01,29104,5.0, 36 months,A,MORTGAGE,debt_consolidation,99398.0,14.62,726,Fully Paid
2016-02-01,33760,24.29, 36 months,G,MORTGAGE,debt_consolidation,72917.0,4.5,790,Fully Paid
2016-02-01,20067,16.08, 36 months,D,RENT,home_improvement,41717.0,25.02,605,Fully Paid
2016-02-01,34643,18.29, 36 months,E,RENT,debt_consolidation,57523.0,1.92,644,Fully Paid
2016-02-01,6748,22.34, 36 months,F,RENT,debt_consolidation,56484.0,12.16,602,Fully Paid
2016-02-01,16639,14.0, 60 months,D,OWN,debt_consolidation,83317.0,17.58,735,Fully Paid
2016-02-01,3772,17.5, 36 months,E,OWN,debt_consolidation,58236.0,18.0,673,Fully Paid
2016-02-01,28383,8.67, 36 months,B,MORTGAGE,home_improvement,96885.0,13.53,683,Fully Paid
2016-02-01,24951,5.0, 36 months,A,RENT,debt_consolidation,71199.0,3.13,688,Fully Paid
2016-02-01,12119,13.67, 60 months,C,MORTGAGE,debt_consolidation,54329.0,20.28,633,Charged Off
2016-02-01,31924,15.38, 60 months,D,RENT,credit_card,65007.0,13.78,693,Fully Paid
2016-02-01,6033,10.71, 36 months,C,RENT,debt_consolidation,40989.0,30.75,848,Fully Paid
2016-02-01,10328,5.84, 60 months,B,OWN,credit_card,76241.0,16.47,782,Fully Paid
2016-02-01,7186,5.0, 36 months,A,OWN,credit_card,40671.0,11.5,719,Fully Paid
2016-02-01,18597,8.72, 36 months,C,MORTGAGE,credit_card,96634.0,17.7,807,Fully Paid
2016-02-01,3265,18.62, 36 months,F,MORTGAGE,small_business,73263.0,19.43,727,Fully Paid
2016-02-01,8874,8.2, 36 months,B,MORTGAGE,debt_consolidation,77465.0,22.25,649,Charged Off
2016-02-01,16312,5.0, 36 months,A,OWN,debt_consolidation,97969.0,22.04,721,Fully Paid
2016-02-01,15368,5.62, 36 months,B,OWN,debt_consolidation,81054.0,12.94,801,Fully Paid
2016-02-01,6554,15.62, 36 months,E,MORTGAGE,debt_consolidation,44649.0,9.24,814,Fully Paid
