column,n_unique
emp_title,372940
desc,124202
title,63147
zip_code,945
earliest_cr_line,738
sec_app_earliest_cr_line,560
last_credit_pull_d,140
last_pymnt_d,135
next_pymnt_d,98
settlement_date,89
debt_settlement_flag_date,82
addr_state,51
sub_grade,35
hardship_start_date,26
payment_plan_start_date,25
hardship_end_date,24
purpose,14
emp_length,11
hardship_reason,9
grade,7
home_ownership,6
hardship_loan_status,5
loan_status,4
hardship_status,3
verification_status_joint,3
verification_status,3
settlement_status,3
term,2
initial_list_status,2
disbursement_method,2
application_type,2
debt_settlement_flag,2
hardship_flag,2
pymnt_plan,1
hardship_type,1
