issue_month,loan_count
2007-06-01,24
2007-07-01,63
2007-08-01,74
2007-09-01,53
2007-10-01,105
2007-11-01,112
2007-12-01,172
2008-01-01,305
2008-02-01,306
2008-03-01,402
2008-04-01,259
2008-05-01,115
2008-06-01,124
2008-07-01,141
2008-08-01,100
2008-09-01,57
2008-10-01,122
2008-11-01,209
2008-12-01,253
2009-01-01,269
2009-02-01,302
2009-03-01,324
2009-04-01,333
2009-05-01,359
2009-06-01,406
2009-07-01,411
2009-08-01,446
2009-09-01,507
2009-10-01,604
2009-11-01,662
2009-12-01,658
2010-01-01,662
2010-02-01,682
2010-03-01,828
2010-04-01,912
2010-05-01,989
2010-06-01,1105
2010-07-01,1204
2010-08-01,1175
2010-09-01,1189
2010-10-01,1232
2010-11-01,1224
2010-12-01,1335
2011-01-01,1380
2011-02-01,1298
2011-03-01,1448
2011-04-01,1563
2011-05-01,1704
2011-06-01,1835
2011-07-01,1875
2011-08-01,1934
2011-09-01,2067
2011-10-01,2118
2011-11-01,2232
2011-12-01,2267
2012-01-01,2602
2012-02-01,2560
2012-03-01,2914
2012-04-01,3230
2012-05-01,3400
2012-06-01,3817
2012-07-01,4627
2012-08-01,5419
2012-09-01,6087
2012-10-01,6263
2012-11-01,6382
2012-12-01,6066
2013-01-01,6872
2013-02-01,7561
2013-03-01,8273
2013-04-01,9419
2013-05-01,10350
2013-06-01,10899
2013-07-01,11910
2013-08-01,12673
2013-09-01,12986
2013-10-01,14125
2013-11-01,14719
2013-12-01,15006
2014-01-01,15577
2014-02-01,14934
2014-03-01,15721
2014-04-01,18084
2014-05-01,18027
2014-06-01,16102
2014-07-01,27429
2014-08-01,17660
2014-09-01,9900
2014-10-01,35881
2014-11-01,22833
2014-12-01,9320
2015-01-01,32033
2015-02-01,21558
2015-03-01,22804
2015-04-01,31643
2015-05-01,28554
2015-06-01,25329
2015-07-01,40865
2015-08-01,31507
2015-09-01,24999
2015-10-01,42727
2015-11-01,32682
2015-12-01,38711
2016-01-01,27983
2016-02-01,32075
2016-03-01,40697
2016-04-01,22995
2016-05-01,17394
2016-06-01,19978
2016-07-01,20916
2016-08-01,21417
2016-09-01,16262
2016-10-01,18208
2016-11-01,18163
2016-12-01,18611
2017-01-01,15668
2017-02-01,12903
2017-03-01,16128
2017-04-01,12426
2017-05-01,15285
2017-06-01,14329
2017-07-01,13969
2017-08-01,14449
2017-09-01,12451
2017-10-01,11023
2017-11-01,11143
2017-12-01,9126
2018-01-01,7681
2018-02-01,5996
2018-03-01,6318
2018-04-01,6006
2018-05-01,5619
2018-06-01,4028
2018-07-01,3459
2018-08-01,2785
2018-09-01,1819
2018-10-01,1547
2018-11-01,1099
2018-12-01,825
