column,dtype,pct_missing,is_text_column,n_unique,description,drop_reasons
acc_now_delinq,float64,0.0,False,0,The number of accounts on which the borrower is now delinquent.,
acc_open_past_24mths,float64,3.83,False,0,Number of trades opened in past 24 months.,
addr_state,str,0.0,True,51,The state provided by the borrower in the loan application,
all_util,float64,61.76,False,0,Balance to credit limit on all trades,
annual_inc,float64,0.0,False,0,The self-reported annual income provided by the borrower during registration.,
application_type,str,0.0,True,2,Indicates whether the loan is an individual application or a joint application with two co-borrowers,
avg_cur_bal,float64,5.38,False,0,Average current balance of all accounts,
bc_open_to_buy,float64,4.85,False,0,Total open to buy on revolving bankcards.,
bc_util,float64,4.91,False,0,Ratio of total current balance to high credit/credit limit for all bankcard accounts.,
chargeoff_within_12_mths,float64,0.01,False,0,Number of charge-offs within 12 months,
collections_12_mths_ex_med,float64,0.01,False,0,Number of collections in 12 months excluding medical collections,
delinq_2yrs,float64,0.0,False,0,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years,
delinq_amnt,float64,0.0,False,0,The past-due amount owed for the accounts on which the borrower is now delinquent.,
disbursement_method,str,0.0,True,2,"The method by which the borrower receives their loan. Possible values are: CASH, DIRECT_PAY",
dti,float64,0.02,False,0,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income.",
emp_length,str,5.78,True,11,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years.,
funded_amnt,int64,0.0,False,0,The total amount committed to that loan at that point in time.,
funded_amnt_inv,float64,0.0,False,0,The total amount committed by investors for that loan at that point in time.,
grade,str,0.0,True,7,LC assigned loan grade,
home_ownership,str,0.0,True,6,"The home ownership status provided by the borrower during registration or obtained from the credit report. Our values are: RENT, OWN, MORTGAGE, OTHER",
il_util,float64,66.88,False,0,Ratio of total current balance to high credit/credit limit on all install acct,
initial_list_status,str,0.0,True,2,"The initial listing status of the loan. Possible values are – W, F",
inq_fi,float64,61.76,False,0,Number of personal finance inquiries,
inq_last_12m,float64,61.76,False,0,Number of credit inquiries in past 12 months,
inq_last_6mths,float64,0.0,False,0,The number of inquiries in past 6 months (excluding auto and mortgage inquiries),
installment,float64,0.0,False,0,The monthly payment owed by the borrower if the loan originates.,
int_rate,float64,0.0,False,0,Interest Rate on the loan,
issue_d,datetime64[us],0.0,False,0,The month which the loan was funded,
loan_amnt,int64,0.0,False,0,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value.",
max_bal_bc,float64,61.76,False,0,Maximum current balance owed on all revolving accounts,
mo_sin_old_il_acct,float64,8.19,False,0,Months since oldest bank installment account opened,
mo_sin_old_rev_tl_op,float64,5.38,False,0,Months since oldest revolving account opened,
mo_sin_rcnt_rev_tl_op,float64,5.38,False,0,Months since most recent revolving account opened,
mo_sin_rcnt_tl,float64,5.38,False,0,Months since most recent account opened,
mort_acc,float64,3.83,False,0,Number of mortgage accounts.,
