feature_name,coefficient,abs_coefficient
num__max_bal_bc,-0.00014273071256058002,0.00014273071256058002
num__avg_cur_bal,-3.4938059385984916e-05,3.4938059385984916e-05
num__mo_sin_old_rev_tl_op,-2.9688243130657284e-05,2.9688243130657284e-05
num__installment,-2.274882780997519e-05,2.274882780997519e-05
num__mo_sin_old_il_acct,-2.011470366071503e-05,2.011470366071503e-05
num__pct_tl_nvr_dlq,-1.580848967949972e-05,1.580848967949972e-05
num__funded_amnt,1.5531945268390656e-05,1.5531945268390656e-05
num__il_util,-1.1932844940712644e-05,1.1932844940712644e-05
num__loan_amnt,1.1818044659919376e-05,1.1818044659919376e-05
num__mths_since_last_record,-1.1697286809365095e-05,1.1697286809365095e-05
num__bc_util,-9.462950415367626e-06,9.462950415367626e-06
num__all_util,-9.106419912942771e-06,9.106419912942771e-06
num__annual_inc,-8.564832092451572e-06,8.564832092451572e-06
num__mths_since_recent_bc,-8.556512421805887e-06,8.556512421805887e-06
num__total_rev_hi_lim,-7.503349597004853e-06,7.503349597004853e-06
num__bc_open_to_buy,-7.334999725716107e-06,7.334999725716107e-06
num__revol_util,-7.325228879952385e-06,7.325228879952385e-06
num__mths_since_last_major_derog,-7.2666696179941215e-06,7.2666696179941215e-06
num__delinq_amnt,7.2529309039651665e-06,7.2529309039651665e-06
num__revol_bal,7.008035779099411e-06,7.008035779099411e-06
num__mths_since_recent_bc_dlq,-6.735629402372761e-06,6.735629402372761e-06
num__funded_amnt_inv,6.290536971230712e-06,6.290536971230712e-06
num__mths_since_last_delinq,-6.117602431629968e-06,6.117602431629968e-06
num__mths_since_recent_revol_delinq,-6.0747800717777e-06,6.0747800717777e-06
num__tot_cur_bal,6.00287123334673e-06,6.00287123334673e-06
num__percent_bc_gt_75,-5.69442648886478e-06,5.69442648886478e-06
num__tot_coll_amt,-5.359220700041592e-06,5.359220700041592e-06
num__total_bc_limit,-5.353598172639543e-06,5.353598172639543e-06
num__total_bal_il,-4.987279237230427e-06,4.987279237230427e-06
num__mo_sin_rcnt_rev_tl_op,-4.316112637187504e-06,4.316112637187504e-06
num__tot_hi_cred_lim,-3.687293549032046e-06,3.687293549032046e-06
num__total_bal_ex_mort,3.4525508284085504e-06,3.4525508284085504e-06
num__mo_sin_rcnt_tl,-3.12265556738475e-06,3.12265556738475e-06
num__total_acc,-2.7426233761945905e-06,2.7426233761945905e-06
num__mths_since_rcnt_il,-2.6035003851371026e-06,2.6035003851371026e-06
num__total_il_high_credit_limit,-2.4892356196382655e-06,2.4892356196382655e-06
num__mths_since_recent_inq,-2.068932067307955e-06,2.068932067307955e-06
num__num_rev_accts,-1.5059466273126806e-06,1.5059466273126806e-06
num__num_sats,-9.87931213710079e-07,9.87931213710079e-07
num__num_il_tl,-9.495031791569938e-07,9.495031791569938e-07
num__open_acc,-9.363454450576429e-07,9.363454450576429e-07
num__dti,-9.073056901685361e-07,9.073056901685361e-07
num__num_bc_tl,-7.839151001655792e-07,7.839151001655792e-07
num__int_rate,6.924484374926447e-07,6.924484374926447e-07
num__num_op_rev_tl,-4.895657884773101e-07,4.895657884773101e-07
num__acc_open_past_24mths,4.4369902937715477e-07,4.4369902937715477e-07
cat__term_ 36 months,-3.830962429970459e-07,3.830962429970459e-07
num__num_tl_op_past_12m,2.6987434750738085e-07,2.6987434750738085e-07
flag__mths_since_rcnt_il_missing_flag,-2.4317842982788503e-07,2.4317842982788503e-07
