threshold,accuracy,precision,recall,f1,predicted_bad_rate,dataset,model_name
0.05,0.274062,0.210926,0.985493,0.347481,0.916381,train,logistic_regression_v2
0.06,0.304075,0.216837,0.975667,0.354818,0.882515,train,logistic_regression_v2
0.07,0.335383,0.22327,0.963573,0.362537,0.846462,train,logistic_regression_v2
0.08,0.366971,0.230012,0.948852,0.370267,0.8091,train,logistic_regression_v2
0.09,0.398622,0.237141,0.932002,0.378082,0.770839,train,logistic_regression_v2
0.1,0.429857,0.24465,0.913496,0.385939,0.732344,train,logistic_regression_v2
0.11,0.459707,0.252311,0.893726,0.393524,0.69474,train,logistic_regression_v2
0.12,0.488337,0.260023,0.871564,0.400547,0.657416,train,logistic_regression_v2
0.13,0.51548,0.267922,0.848723,0.407276,0.621313,train,logistic_regression_v2
0.14,0.541044,0.275868,0.824658,0.413432,0.586308,train,logistic_regression_v2
0.15,0.565119,0.283883,0.799473,0.418988,0.552355,train,logistic_regression_v2
0.16,0.587681,0.29198,0.773555,0.423942,0.519626,train,logistic_regression_v2
0.17,0.608844,0.300251,0.747305,0.428385,0.488166,train,logistic_regression_v2
0.18,0.628193,0.308305,0.720267,0.431787,0.458211,train,logistic_regression_v2
0.19,0.646399,0.316533,0.692575,0.434488,0.429142,train,logistic_regression_v2
0.2,0.663203,0.324868,0.665175,0.436535,0.40159,train,logistic_regression_v2
0.21,0.678652,0.333331,0.638395,0.437977,0.375636,train,logistic_regression_v2
0.22,0.692754,0.34178,0.611872,0.438579,0.35113,train,logistic_regression_v2
0.23,0.705809,0.350437,0.585707,0.438508,0.327811,train,logistic_regression_v2
0.24,0.717687,0.358995,0.559338,0.437313,0.30559,train,logistic_regression_v2
0.25,0.728486,0.367533,0.533162,0.435119,0.284522,train,logistic_regression_v2
0.26,0.738211,0.376084,0.507977,0.432192,0.264918,train,logistic_regression_v2
0.27,0.746919,0.38441,0.482792,0.42802,0.246331,train,logistic_regression_v2
0.28,0.754865,0.39303,0.458965,0.423446,0.229038,train,logistic_regression_v2
0.29,0.761961,0.401532,0.435613,0.417879,0.212782,train,logistic_regression_v2
0.3,0.768301,0.409915,0.412549,0.411228,0.197395,train,logistic_regression_v2
0.31,0.774043,0.418583,0.390877,0.404256,0.183152,train,logistic_regression_v2
0.32,0.779198,0.427217,0.369121,0.39605,0.169463,train,logistic_regression_v2
0.33,0.783448,0.434929,0.34789,0.386571,0.156884,train,logistic_regression_v2
0.34,0.78736,0.443111,0.327749,0.376798,0.145072,train,logistic_regression_v2
0.35,0.7908,0.451198,0.30795,0.366059,0.133865,train,logistic_regression_v2
0.36,0.793874,0.459515,0.289113,0.35492,0.123402,train,logistic_regression_v2
0.37,0.796673,0.46834,0.271266,0.343547,0.113602,train,logistic_regression_v2
0.38,0.798821,0.475828,0.253146,0.330475,0.104346,train,logistic_regression_v2
0.39,0.800736,0.483638,0.235859,0.317084,0.09565,train,logistic_regression_v2
0.4,0.80245,0.491926,0.219905,0.30394,0.087678,train,logistic_regression_v2
0.41,0.803981,0.500721,0.204768,0.290669,0.080209,train,logistic_regression_v2
0.42,0.80509,0.508374,0.189503,0.27609,0.073112,train,logistic_regression_v2
0.43,0.805944,0.515651,0.174589,0.260857,0.066407,train,logistic_regression_v2
0.44,0.806794,0.524298,0.161063,0.246425,0.060252,train,logistic_regression_v2
0.45,0.807397,0.532463,0.147665,0.23121,0.054393,train,logistic_regression_v2
0.46,0.807808,0.540302,0.134743,0.215696,0.048913,train,logistic_regression_v2
0.47,0.808203,0.549498,0.122743,0.200663,0.043811,train,logistic_regression_v2
0.48,0.808396,0.557732,0.111575,0.185951,0.039237,train,logistic_regression_v2
0.49,0.808542,0.566915,0.100997,0.17145,0.034942,train,logistic_regression_v2
0.5,0.808558,0.575438,0.091236,0.1575,0.031097,train,logistic_regression_v2
0.51,0.808487,0.584138,0.081783,0.143477,0.02746,train,logistic_regression_v2
0.52,0.808337,0.592579,0.072958,0.129921,0.024148,train,logistic_regression_v2
0.53,0.808097,0.599982,0.064728,0.11685,0.02116,train,logistic_regression_v2
0.54,0.8078,0.606425,0.057143,0.104444,0.018481,train,logistic_regression_v2
0.55,0.807492,0.613177,0.050077,0.092593,0.016018,train,logistic_regression_v2
0.56,0.807204,0.620063,0.043948,0.082079,0.013901,train,logistic_regression_v2
0.57,0.806945,0.629189,0.038236,0.07209,0.011919,train,logistic_regression_v2
0.58,0.806652,0.63685,0.033053,0.062844,0.010179,train,logistic_regression_v2
0.59,0.806373,0.644586,0.028495,0.054577,0.00867,train,logistic_regression_v2
0.6,0.80616,0.656627,0.024521,0.047276,0.007324,train,logistic_regression_v2
0.61,0.805912,0.66709,0.02083,0.040398,0.006124,train,logistic_regression_v2
0.62,0.805656,0.675495,0.017564,0.034239,0.0051,train,logistic_regression_v2
0.63,0.805417,0.683533,0.014725,0.02883,0.004225,train,logistic_regression_v2
0.64,0.805224,0.695361,0.012327,0.024225,0.003477,train,logistic_regression_v2
0.65,0.805003,0.699251,0.010172,0.020052,0.002853,train,logistic_regression_v2
0.66,0.804812,0.706007,0.008269,0.016347,0.002297,train,logistic_regression_v2
0.67,0.804619,0.70557,0.00659,0.013058,0.001832,train,logistic_regression_v2
0.68,0.80449,0.711184,0.005356,0.010632,0.001477,train,logistic_regression_v2
0.69,0.804355,0.710109,0.004212,0.008373,0.001163,train,logistic_regression_v2
0.7,0.80427,0.719409,0.003379,0.006727,0.000921,train,logistic_regression_v2
