dataset,threshold,total_loans,accepted_loans,acceptance_rate,observed_bad_rate_accepted,avg_predicted_pd_accepted,total_ead_accepted,expected_loss_accepted,expected_loss_rate_accepted,actual_loss_accepted,actual_loss_rate_accepted
subtrain,0.01,825575,99,0.0001,0.0101,0.0092,1133600.0,4202.42,0.0037,3840.0,0.0034
subtrain,0.02,825575,7437,0.009,0.0078,0.0164,105121800.0,696457.11,0.0066,343500.0,0.0033
subtrain,0.03,825575,26791,0.0325,0.0144,0.0229,393866350.0,3632665.09,0.0092,2351270.0,0.006
subtrain,0.04,825575,51980,0.063,0.0206,0.0288,766981350.0,8870768.28,0.0116,6492180.0,0.0085
subtrain,0.05,825575,79585,0.0964,0.026,0.0345,1165221700.0,16039798.98,0.0138,12237330.0,0.0105
subtrain,0.06,825575,108793,0.1318,0.0316,0.04,1572585450.0,25000224.09,0.0159,19860890.0,0.0126
subtrain,0.07,825575,140142,0.1698,0.0371,0.0456,1994873675.0,35987567.51,0.018,29284920.0,0.0147
subtrain,0.08,825575,173570,0.2102,0.0429,0.0513,2431253650.0,49082806.75,0.0202,41345530.0,0.017
subtrain,0.09,825575,207687,0.2516,0.049,0.0568,2871139575.0,64043389.55,0.0223,55602310.0,0.0194
subtrain,0.1,825575,242108,0.2933,0.0543,0.0622,3307913725.0,80637721.72,0.0244,70775440.0,0.0214
subtrain,0.11,825575,276252,0.3346,0.0593,0.0675,3741594800.0,98847827.46,0.0264,87206710.0,0.0233
subtrain,0.12,825575,309334,0.3747,0.0645,0.0726,4161857300.0,118175909.75,0.0284,105471470.0,0.0253
subtrain,0.13,825575,340803,0.4128,0.0694,0.0774,4560364150.0,138098350.33,0.0303,124102600.0,0.0272
subtrain,0.14,825575,370989,0.4494,0.0741,0.0821,4943602075.0,158784483.62,0.0321,143672490.0,0.0291
subtrain,0.15,825575,400317,0.4849,0.0786,0.0867,5322055300.0,180731359.65,0.034,164033460.0,0.0308
subtrain,0.16,825575,428396,0.5189,0.0835,0.0912,5686257950.0,203307697.19,0.0358,186279230.0,0.0328
subtrain,0.17,825575,454943,0.5511,0.0878,0.0955,6034380000.0,226277353.0,0.0375,207980480.0,0.0345
subtrain,0.18,825575,480398,0.5819,0.0922,0.0997,6372829900.0,249965155.48,0.0392,231098880.0,0.0363
subtrain,0.19,825575,504391,0.611,0.0965,0.1038,6692329500.0,273601638.21,0.0409,254274090.0,0.038
subtrain,0.2,825575,526890,0.6382,0.1007,0.1076,6997606125.0,297402509.45,0.0425,278031810.0,0.0397
subtrain,0.21,825575,548027,0.6638,0.1048,0.1114,7290361250.0,321403416.65,0.0441,302216560.0,0.0415
subtrain,0.22,825575,567983,0.688,0.1086,0.115,7571351575.0,345565578.58,0.0456,325989450.0,0.0431
subtrain,0.23,825575,586912,0.7109,0.1125,0.1186,7844139900.0,370110089.07,0.0472,350348210.0,0.0447
subtrain,0.24,825575,604216,0.7319,0.1159,0.1219,8097084675.0,393882298.18,0.0486,373616770.0,0.0461
subtrain,0.25,825575,620469,0.7516,0.1193,0.1251,8338379125.0,417528520.5,0.0501,397324990.0,0.0477
subtrain,0.26,825575,635616,0.7699,0.1226,0.1282,8566748750.0,440816294.48,0.0515,420258100.0,0.0491
subtrain,0.27,825575,649729,0.787,0.1257,0.1312,8784294025.0,463868241.92,0.0528,443473080.0,0.0505
subtrain,0.28,825575,662856,0.8029,0.1287,0.134,8988849275.0,486363158.96,0.0541,465577240.0,0.0518
subtrain,0.29,825575,675095,0.8177,0.1317,0.1368,9182395975.0,508424010.22,0.0554,488194140.0,0.0532
subtrain,0.3,825575,686437,0.8315,0.1345,0.1394,9365607425.0,530038844.32,0.0566,510060100.0,0.0545
subtrain,0.31,825575,697054,0.8443,0.1374,0.1419,9540748575.0,551405350.0,0.0578,532327310.0,0.0558
subtrain,0.32,825575,706918,0.8563,0.1401,0.1443,9704276375.0,572003836.82,0.0589,553842430.0,0.0571
subtrain,0.33,825575,715978,0.8672,0.1427,0.1466,9858620600.0,592063310.62,0.0601,575022580.0,0.0583
subtrain,0.34,825575,724501,0.8776,0.1451,0.1488,10004502900.0,611608220.94,0.0611,595145530.0,0.0595
subtrain,0.35,825575,732465,0.8872,0.1474,0.151,10142156800.0,630605570.06,0.0622,614768190.0,0.0606
subtrain,0.36,825575,739764,0.8961,0.1496,0.153,10270731625.0,648859732.46,0.0632,633766390.0,0.0617
subtrain,0.37,825575,746508,0.9042,0.1516,0.1549,10390464925.0,666337932.95,0.0641,651676810.0,0.0627
subtrain,0.38,825575,752746,0.9118,0.1537,0.1567,10501968500.0,683060194.83,0.065,669521570.0,0.0638
subtrain,0.39,825575,758579,0.9188,0.1556,0.1585,10608011850.0,699384916.36,0.0659,686386020.0,0.0647
subtrain,0.4,825575,764020,0.9254,0.1574,0.1602,10707471900.0,715100664.54,0.0668,702366400.0,0.0656
subtrain,0.41,825575,769118,0.9316,0.1591,0.1618,10800946725.0,730242475.91,0.0676,718304940.0,0.0665
subtrain,0.42,825575,774022,0.9376,0.1609,0.1634,10891701625.0,745304595.34,0.0684,734173020.0,0.0674
subtrain,0.43,825575,778443,0.9429,0.1625,0.1649,10973565350.0,759222360.83,0.0692,748649560.0,0.0682
subtrain,0.44,825575,782656,0.948,0.1641,0.1663,11052430275.0,772942083.93,0.0699,763313940.0,0.0691
subtrain,0.45,825575,786615,0.9528,0.1656,0.1677,11126092425.0,786051455.46,0.0706,777056780.0,0.0698
subtrain,0.46,825575,790378,0.9574,0.1671,0.1691,11196121325.0,798795526.34,0.0713,790290150.0,0.0706
subtrain,0.47,825575,793924,0.9617,0.1686,0.1704,11261781600.0,811007283.48,0.072,803196910.0,0.0713
subtrain,0.48,825575,797222,0.9657,0.1699,0.1717,11323590975.0,822748949.8,0.0727,815536090.0,0.072
subtrain,0.49,825575,800280,0.9694,0.1713,0.1729,11380515050.0,833790424.44,0.0733,827565750.0,0.0727
subtrain,0.5,825575,803133,0.9728,0.1726,0.174,11433150600.0,844209888.15,0.0738,838830470.0,0.0734
subtrain,0.51,825575,805694,0.9759,0.1737,0.1751,11480751850.0,853823676.36,0.0744,848923300.0,0.0739
subtrain,0.52,825575,808130,0.9789,0.1748,0.1761,11525745525.0,863092409.1,0.0749,858468710.0,0.0745
subtrain,0.53,825575,810293,0.9815,0.1759,0.177,11565665325.0,871474138.29,0.0754,867817460.0,0.075
subtrain,0.54,825575,812284,0.9839,0.1769,0.1779,11602564950.0,879370415.58,0.0758,876333260.0,0.0755
subtrain,0.55,825575,814163,0.9862,0.1778,0.1787,11637880000.0,887068989.53,0.0762,884673870.0,0.076
subtrain,0.56,825575,815718,0.9881,0.1786,0.1795,11666590650.0,893441128.85,0.0766,891403370.0,0.0764
subtrain,0.57,825575,817223,0.9899,0.1794,0.1802,11694336625.0,899710922.58,0.0769,898505560.0,0.0768
subtrain,0.58,825575,818530,0.9915,0.1801,0.1808,11718447500.0,905254542.33,0.0773,904425790.0,0.0772
subtrain,0.59,825575,819684,0.9929,0.1808,0.1814,11739670950.0,910219547.26,0.0775,909926690.0,0.0775
subtrain,0.6,825575,820705,0.9941,0.1814,0.1819,11758650700.0,914736956.6,0.0778,914896990.0,0.0778
subtrain,0.61,825575,821528,0.9951,0.1819,0.1823,11773774525.0,918395789.58,0.078,919009150.0,0.0781
subtrain,0.62,825575,822305,0.996,0.1824,0.1827,11788304125.0,921969393.13,0.0782,923000860.0,0.0783
subtrain,0.63,825575,822883,0.9967,0.1827,0.183,11798958225.0,924632420.47,0.0784,926011560.0,0.0785
subtrain,0.64,825575,823419,0.9974,0.1831,0.1833,11808973725.0,927176014.27,0.0785,928824980.0,0.0787
subtrain,0.65,825575,823818,0.9979,0.1833,0.1835,11816804700.0,929196950.11,0.0786,931157720.0,0.0788
subtrain,0.66,825575,824179,0.9983,0.1836,0.1838,11823837125.0,931039468.89,0.0787,933228930.0,0.0789
subtrain,0.67,825575,824509,0.9987,0.1838,0.1839,11829878275.0,932645838.95,0.0788,935044000.0,0.079
subtrain,0.68,825575,824777,0.999,0.184,0.1841,11834797625.0,933973042.7,0.0789,936606680.0,0.0791
subtrain,0.69,825575,824963,0.9993,0.1841,0.1842,11838371375.0,934951478.01,0.079,937741050.0,0.0792
subtrain,0.7,825575,825104,0.9994,0.1843,0.1843,11841202225.0,935737992.85,0.079,938675860.0,0.0793
subtrain,0.71,825575,825218,0.9996,0.1843,0.1844,11843330075.0,936337896.44,0.0791,939353500.0,0.0793
subtrain,0.72,825575,825312,0.9997,0.1844,0.1844,11845229650.0,936880800.38,0.0791,939923310.0,0.0794
subtrain,0.73,825575,825382,0.9998,0.1845,0.1845,11846648500.0,937292157.76,0.0791,940378300.0,0.0794
subtrain,0.74,825575,825427,0.9998,0.1845,0.1845,11847500375.0,937542397.63,0.0791,940672760.0,0.0794
subtrain,0.75,825575,825467,0.9999,0.1845,0.1845,11848366475.0,937800191.43,0.0792,940991370.0,0.0794
subtrain,0.76,825575,825493,0.9999,0.1846,0.1846,11848911875.0,937964888.22,0.0792,941209530.0,0.0794
subtrain,0.77,825575,825524,0.9999,0.1846,0.1846,11849562950.0,938164033.65,0.0792,941446180.0,0.0794
subtrain,0.78,825575,825544,1.0,0.1846,0.1846,11849981850.0,938293809.49,0.0792,941589190.0,0.0795
subtrain,0.79,825575,825554,1.0,0.1846,0.1846,11850196000.0,938360909.38,0.0792,941669730.0,0.0795
subtrain,0.8,825575,825566,1.0,0.1846,0.1846,11850476500.0,938449985.54,0.0792,941758910.0,0.0795
subtrain,0.81,825575,825571,1.0,0.1846,0.1846,11850607650.0,938492165.66,0.0792,941811370.0,0.0795
subtrain,0.82,825575,825573,1.0,0.1846,0.1846,11850658175.0,938508690.09,0.0792,941831580.0,0.0795
subtrain,0.83,825575,825574,1.0,0.1846,0.1846,11850675750.0,938514475.7,0.0792,941838610.0,0.0795
subtrain,0.84,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.85,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.86,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.87,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.88,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.89,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.9,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.91,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.92,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.93,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
