vintage,threshold,total_loans,accepted_loans,acceptance_rate,overall_bad_rate,accepted_bad_rate,avg_predicted_pd_accepted,total_ead_accepted
2016-07-01,0.15,16262,6432,0.3955,0.251,0.116,0.0915,77455225.0
2016-10-01,0.15,54982,22401,0.4074,0.2398,0.1182,0.0897,267529850.0
2017-01-01,0.15,44699,18954,0.424,0.2291,0.1081,0.0862,238060550.0
2017-04-01,0.15,42040,17916,0.4262,0.2368,0.1135,0.0855,216904875.0
2017-07-01,0.15,40869,17195,0.4207,0.2369,0.1111,0.0857,199658050.0
2017-10-01,0.15,31292,14389,0.4598,0.2078,0.0974,0.0819,176925400.0
2018-01-01,0.15,19995,9450,0.4726,0.1869,0.0905,0.0785,124719575.0
2018-04-01,0.15,15653,7527,0.4809,0.1648,0.0788,0.0787,96149800.0
2018-07-01,0.15,8063,3948,0.4896,0.0733,0.0377,0.0793,49256600.0
2018-10-01,0.15,3471,1773,0.5108,0.0095,0.0085,0.0817,21121725.0
