feature_name,importance_gain
cat__grade_A,0.13195464
cat__grade_C,0.08482419
cat__grade_B,0.08406907
num__int_rate,0.066048875
cat__term_ 60 months,0.05062935
cat__term_ 36 months,0.03972853
flag__inq_fi_missing_flag,0.033777457
flag__all_util_missing_flag,0.025915625
cat__grade_D,0.018872973
flag__inq_last_12m_missing_flag,0.018802809
cat__sub_grade_B4,0.015624606
num__open_rv_24m,0.009523424
num__acc_open_past_24mths,0.009520094
cat__home_ownership_RENT,0.007761548
cat__sub_grade_A1,0.007513086
num__mort_acc,0.0069094524
num__avg_cur_bal,0.00642244
cat__home_ownership_MORTGAGE,0.00620865
flag__max_bal_bc_missing_flag,0.005630586
num__dti,0.005343024
cat__addr_state_CO,0.0051411595
cat__addr_state_OR,0.0051262304
cat__verification_status_Not Verified,0.0050099255
cat__addr_state_WA,0.0048463754
cat__purpose_small_business,0.00471832
cat__initial_list_status_f,0.004469313
flag__pub_rec_bankruptcies_missing_flag,0.0042083007
num__num_actv_rev_tl,0.0039507104
cat__addr_state_SC,0.0038848538
num__annual_inc,0.0038099843
cat__sub_grade_C2,0.0038027333
num__collections_12_mths_ex_med,0.0037455442
num__loan_amnt,0.0035178321
flag__bc_open_to_buy_missing_flag,0.003508676
num__num_rev_tl_bal_gt_0,0.0035031284
flag__mort_acc_missing_flag,0.0034046068
cat__addr_state_KS,0.0033794784
num__funded_amnt,0.0033265827
cat__addr_state_NY,0.003305119
num__tot_hi_cred_lim,0.0032441064
cat__addr_state_NH,0.0032356584
flag__mths_since_last_record_missing_flag,0.003233004
num__delinq_2yrs,0.003227237
cat__addr_state_CA,0.0031423473
num__mths_since_recent_inq,0.0030778372
cat__sub_grade_C4,0.003062122
flag__num_bc_sats_missing_flag,0.0030172137
flag__mths_since_last_major_derog_missing_flag,0.0030082762
cat__emp_length_10+ years,0.002985758
cat__sub_grade_A5,0.0029812139
num__total_bc_limit,0.0029691092
flag__il_util_missing_flag,0.002959991
cat__addr_state_NV,0.002926515
cat__sub_grade_C5,0.0028303291
num__mths_since_recent_bc,0.002790018
cat__sub_grade_C1,0.0027430241
cat__addr_state_NJ,0.002727195
num__installment,0.0026680448
cat__addr_state_AR,0.0026440418
num__num_tl_op_past_12m,0.0026338801
flag__mths_since_recent_inq_missing_flag,0.0026320072
cat__addr_state_AL,0.002527666
num__inq_last_6mths,0.0025241084
cat__addr_state_WV,0.0025158683
cat__sub_grade_D1,0.0024675266
cat__addr_state_OK,0.002461438
cat__sub_grade_E5,0.0024585081
cat__addr_state_GA,0.0024106016
flag__mths_since_rcnt_il_missing_flag,0.0024024902
num__funded_amnt_inv,0.002401589
cat__addr_state_LA,0.0023945954
cat__addr_state_FL,0.002387414
cat__verification_status_Source Verified,0.0023687931
flag__mo_sin_old_il_acct_missing_flag,0.0023394749
num__mo_sin_old_rev_tl_op,0.0022979816
cat__addr_state_DC,0.0022963632
cat__purpose_medical,0.0022752148
cat__addr_state_IL,0.0022621625
cat__addr_state_VT,0.00226149
flag__num_tl_120dpd_2m_missing_flag,0.0022511857
cat__addr_state_WI,0.0022312608
cat__purpose_vacation,0.002224218
num__all_util,0.002204465
num__mths_since_last_record,0.0022015825
cat__purpose_wedding,0.0021823663
cat__sub_grade_B3,0.0021639643
flag__bc_util_missing_flag,0.0021559165
num__inq_fi,0.002155207
cat__addr_state_MS,0.002149003
num__total_rev_hi_lim,0.0021456436
cat__addr_state_MD,0.0021187419
num__mo_sin_rcnt_tl,0.0021181293
cat__addr_state_MT,0.002102467
num__max_bal_bc,0.0020966344
num__mths_since_last_delinq,0.0020940155
num__bc_open_to_buy,0.0020865442
cat__addr_state_ME,0.0020793665
flag__num_sats_missing_flag,0.0020685273
cat__addr_state_PA,0.0020641668
cat__addr_state_VA,0.0020602543
flag__mths_since_recent_bc_dlq_missing_flag,0.0020533144
cat__grade_F,0.002048581
cat__grade_E,0.0020444717
num__pub_rec,0.0020298078
cat__sub_grade_B5,0.0020298
num__num_actv_bc_tl,0.0020151653
cat__addr_state_CT,0.001934699
flag__pct_tl_nvr_dlq_missing_flag,0.0019315771
num__percent_bc_gt_75,0.0019270045
flag__percent_bc_gt_75_missing_flag,0.0018925461
cat__addr_state_TX,0.001825847
cat__emp_length_< 1 year,0.0018091184
cat__home_ownership_OWN,0.0017950487
flag__mo_sin_old_rev_tl_op_missing_flag,0.0017722357
cat__verification_status_Verified,0.0017713368
cat__purpose_moving,0.0017533643
cat__addr_state_HI,0.0017484982
num__il_util,0.0017384597
num__bc_util,0.0017321055
num__num_accts_ever_120_pd,0.0017216448
num__revol_bal,0.0017134291
num__total_bal_il,0.0017123672
num__open_acc_6m,0.0017101945
cat__addr_state_UT,0.0017069285
cat__application_type_Individual,0.0017048792
cat__addr_state_MO,0.0017017159
num__total_acc,0.0016935176
flag__avg_cur_bal_missing_flag,0.0016569122
cat__application_type_Joint App,0.0016530046
num__tot_coll_amt,0.001645188
cat__purpose_house,0.0016438862
cat__purpose_car,0.0016338337
num__mths_since_recent_bc_dlq,0.0016239757
num__total_il_high_credit_limit,0.0016144583
num__mths_since_rcnt_il,0.0016089746
cat__sub_grade_A4,0.0015810919
num__num_tl_90g_dpd_24m,0.0015799474
cat__addr_state_KY,0.0015459786
num__num_il_tl,0.0015120887
cat__purpose_other,0.0014938009
cat__sub_grade_D2,0.0014654606
num__open_rv_12m,0.0014576751
num__mo_sin_old_il_acct,0.0014560479
num__revol_util,0.001454959
num__num_bc_sats,0.0014542163
num__open_il_12m,0.0014353077
num__total_cu_tl,0.001421398
num__pub_rec_bankruptcies,0.0014189782
num__num_rev_accts,0.0014185016
cat__initial_list_status_w,0.0013883758
flag__acc_open_past_24mths_missing_flag,0.0013653635
num__mths_since_last_major_derog,0.001364106
num__inq_last_12m,0.0013388433
num__tot_cur_bal,0.0013352223
num__num_bc_tl,0.0013227733
cat__addr_state_TN,0.0013055828
cat__purpose_home_improvement,0.0012967943
num__mo_sin_rcnt_rev_tl_op,0.0012951412
num__tax_liens,0.0012907254
num__pct_tl_nvr_dlq,0.0012855646
