feature_name,importance_gain
cat__term_ 60 months,0.20545419
cat__grade_A,0.15447637
num__int_rate,0.056981303
cat__grade_B,0.048291028
cat__grade_C,0.04413627
cat__term_ 36 months,0.042712472
cat__grade_D,0.014684118
num__acc_open_past_24mths,0.008463734
cat__sub_grade_B4,0.007347209
cat__sub_grade_D1,0.007163469
num__mort_acc,0.0064971615
cat__sub_grade_C2,0.006481211
cat__grade_E,0.006112249
cat__home_ownership_RENT,0.006019126
num__avg_cur_bal,0.0054888614
cat__sub_grade_B2,0.0054887068
num__dti,0.0050656563
cat__purpose_small_business,0.0049466356
cat__sub_grade_A1,0.0049260156
cat__sub_grade_C1,0.0047016935
flag__pub_rec_bankruptcies_missing_flag,0.004493258
cat__sub_grade_B3,0.004483167
cat__addr_state_CO,0.004313777
cat__sub_grade_A5,0.0042845835
num__annual_inc,0.0041823587
cat__addr_state_WA,0.004167383
cat__sub_grade_B5,0.0041486896
cat__home_ownership_MORTGAGE,0.0040016253
num__loan_amnt,0.0038850298
cat__verification_status_Not Verified,0.003860683
flag__all_util_missing_flag,0.0038351647
cat__addr_state_OR,0.0037448274
cat__addr_state_SC,0.0036622263
flag__mo_sin_rcnt_rev_tl_op_missing_flag,0.0036476448
cat__sub_grade_C5,0.0034293975
num__tot_hi_cred_lim,0.0033800944
num__num_tl_op_past_12m,0.0031604902
cat__addr_state_NH,0.0031438663
cat__addr_state_NY,0.0030810093
num__num_actv_rev_tl,0.002938395
num__num_rev_tl_bal_gt_0,0.0029353593
num__total_bc_limit,0.0029321366
cat__initial_list_status_f,0.002892698
flag__bc_open_to_buy_missing_flag,0.002858636
num__total_bal_il,0.0028531628
num__delinq_2yrs,0.0028419634
cat__addr_state_CA,0.0027864266
flag__mths_since_recent_inq_missing_flag,0.0027847942
num__open_il_12m,0.002780682
flag__num_sats_missing_flag,0.0027603055
cat__sub_grade_D2,0.0027494938
flag__mths_since_last_record_missing_flag,0.0027426977
flag__acc_open_past_24mths_missing_flag,0.0027220058
cat__sub_grade_D3,0.0027120712
cat__verification_status_Source Verified,0.002699013
cat__addr_state_KY,0.0026612184
cat__sub_grade_B1,0.0026416362
num__mths_since_recent_inq,0.002622362
num__inq_last_6mths,0.0025933434
flag__il_util_missing_flag,0.002593169
cat__addr_state_KS,0.0025834972
cat__addr_state_NV,0.0025741637
num__mths_since_recent_bc,0.00255355
cat__addr_state_AR,0.0025118336
cat__emp_length_10+ years,0.002503964
flag__mo_sin_old_il_acct_missing_flag,0.0025013988
num__funded_amnt,0.0024966595
flag__mths_since_last_major_derog_missing_flag,0.0024745287
cat__sub_grade_A4,0.0024296949
cat__sub_grade_E4,0.0023897758
cat__addr_state_NJ,0.0023816333
num__collections_12_mths_ex_med,0.0023216282
cat__addr_state_GA,0.0023176556
cat__purpose_wedding,0.0023047964
cat__addr_state_IL,0.0022893206
cat__addr_state_WV,0.0022755913
cat__addr_state_MS,0.002234073
num__open_rv_24m,0.0022324491
num__mo_sin_old_rev_tl_op,0.0022309117
num__open_act_il,0.0021942887
num__mths_since_last_record,0.002179914
num__installment,0.002166512
num__pub_rec,0.0021642067
num__bc_open_to_buy,0.0021594097
flag__avg_cur_bal_missing_flag,0.0021591743
num__funded_amnt_inv,0.0021448433
cat__sub_grade_E2,0.0021443807
cat__addr_state_DC,0.0020973745
cat__addr_state_AL,0.0020932537
num__num_accts_ever_120_pd,0.0020567833
cat__grade_F,0.0020527488
num__num_actv_bc_tl,0.0020505118
cat__sub_grade_E5,0.0020308916
flag__num_bc_sats_missing_flag,0.0020270615
cat__addr_state_FL,0.002022858
num__pub_rec_bankruptcies,0.0020182065
cat__addr_state_LA,0.0019843595
cat__addr_state_OK,0.001979619
num__tot_coll_amt,0.001966873
num__all_util,0.001951022
num__mths_since_last_delinq,0.001950202
cat__emp_length_< 1 year,0.0019426421
num__mo_sin_rcnt_tl,0.0019342323
flag__mths_since_recent_bc_dlq_missing_flag,0.0019148024
num__mths_since_rcnt_il,0.0019045604
cat__sub_grade_E3,0.0018982784
num__percent_bc_gt_75,0.0018832841
cat__addr_state_VT,0.0018710752
cat__addr_state_WI,0.0018622346
cat__sub_grade_E1,0.0018499887
cat__purpose_moving,0.0018381921
cat__sub_grade_C4,0.0018257415
num__total_rev_hi_lim,0.0018233996
cat__addr_state_HI,0.0018221646
flag__num_tl_120dpd_2m_missing_flag,0.0018207439
cat__addr_state_TX,0.0018162994
num__inq_fi,0.0018041749
cat__addr_state_MD,0.0017752898
num__max_bal_bc,0.0017658653
flag__mort_acc_missing_flag,0.0017593699
num__bc_util,0.0017546746
cat__purpose_medical,0.001740148
num__total_il_high_credit_limit,0.0017380848
cat__purpose_car,0.0017311897
cat__addr_state_NE,0.0017120104
cat__addr_state_WY,0.001702862
cat__sub_grade_F3,0.0016905572
flag__mths_since_recent_bc_missing_flag,0.0016851086
cat__addr_state_UT,0.0016784794
cat__addr_state_TN,0.0016565673
cat__verification_status_Verified,0.001635102
num__revol_bal,0.0016286441
num__mths_since_last_major_derog,0.0016281925
num__num_il_tl,0.0016205019
cat__home_ownership_OWN,0.0015896439
num__num_bc_tl,0.0015811961
num__total_acc,0.0015803353
num__mths_since_recent_bc_dlq,0.001561251
cat__emp_length_2 years,0.0015588149
num__il_util,0.0015583809
cat__initial_list_status_w,0.0015582739
flag__percent_bc_gt_75_missing_flag,0.001556932
flag__mths_since_last_delinq_missing_flag,0.0015313096
cat__sub_grade_F5,0.0015271998
cat__purpose_other,0.0015260426
cat__purpose_home_improvement,0.0015216613
cat__emp_length_8 years,0.0015186806
cat__addr_state_OH,0.0015140354
cat__addr_state_CT,0.0015056243
cat__addr_state_MA,0.0015017766
num__tot_cur_bal,0.0014997995
cat__addr_state_VA,0.0014769805
num__pct_tl_nvr_dlq,0.0014648143
cat__sub_grade_D5,0.0014604267
cat__purpose_credit_card,0.0014470884
cat__addr_state_MT,0.0014356585
cat__purpose_house,0.0014343006
num__num_tl_90g_dpd_24m,0.0014214072
num__mo_sin_old_il_acct,0.0014099625
num__revol_util,0.0014096574
num__num_bc_sats,0.0014079569
flag__pct_tl_nvr_dlq_missing_flag,0.0013999399
num__num_rev_accts,0.0013943773
cat__purpose_major_purchase,0.0013291944
cat__addr_state_MN,0.0013065876
num__tax_liens,0.001302164
num__mo_sin_rcnt_rev_tl_op,0.0012930781
num__open_il_24m,0.00129246
cat__addr_state_MO,0.0012791237
cat__emp_length_7 years,0.0012420189
num__num_op_rev_tl,0.0012278596
cat__emp_length_9 years,0.0012225629
num__open_rv_12m,0.0012044933
flag__mo_sin_old_rev_tl_op_missing_flag,0.0011813419
cat__emp_length_4 years,0.0011678208
cat__addr_state_MI,0.0011530054
num__total_bal_ex_mort,0.0011492595
num__mths_since_recent_revol_delinq,0.0011446662
cat__addr_state_NC,0.0011323413
cat__emp_length_1 year,0.0010826065
cat__addr_state_PA,0.0010759875
num__num_sats,0.0010532234
cat__purpose_debt_consolidation,0.0010443554
flag__bc_util_missing_flag,0.001009524
cat__sub_grade_C3,0.0009935062
num__open_acc,0.0009823606
