threshold,accuracy,precision,recall,f1,predicted_bad_rate,dataset,model_name
0.05,0.278112,0.212199,0.988208,0.349376,0.913396,train,xgboost_v1
0.06,0.308473,0.218542,0.980587,0.357425,0.880046,train,xgboost_v1
0.07,0.339684,0.225248,0.970118,0.365607,0.844729,train,xgboost_v1
0.08,0.371554,0.232397,0.957092,0.373985,0.807749,train,xgboost_v1
0.09,0.403985,0.240065,0.94148,0.382578,0.769193,train,xgboost_v1
0.1,0.436054,0.248177,0.924079,0.391272,0.730298,train,xgboost_v1
0.11,0.466674,0.25643,0.904978,0.399625,0.692186,train,xgboost_v1
0.12,0.496442,0.265193,0.885125,0.408111,0.65463,train,xgboost_v1
0.13,0.524209,0.273772,0.862749,0.415648,0.618086,train,xgboost_v1
0.14,0.550596,0.282722,0.840126,0.423071,0.582825,train,xgboost_v1
0.15,0.575453,0.291767,0.815878,0.429824,0.548456,train,xgboost_v1
0.16,0.598638,0.300829,0.790217,0.435766,0.515206,train,xgboost_v1
0.17,0.620278,0.310068,0.764042,0.441118,0.483297,train,xgboost_v1
0.18,0.640126,0.319198,0.736929,0.44545,0.452814,train,xgboost_v1
0.19,0.658457,0.328522,0.710169,0.449231,0.423986,train,xgboost_v1
0.2,0.675354,0.337886,0.682824,0.452071,0.396362,train,xgboost_v1
0.21,0.690669,0.347218,0.655816,0.454045,0.370453,train,xgboost_v1
0.22,0.704383,0.356312,0.628892,0.454894,0.346177,train,xgboost_v1
0.23,0.717193,0.365887,0.602805,0.455374,0.323134,train,xgboost_v1
0.24,0.728756,0.375369,0.576694,0.454745,0.301328,train,xgboost_v1
0.25,0.739279,0.385025,0.551375,0.453424,0.280874,train,xgboost_v1
0.26,0.748863,0.394835,0.526438,0.451237,0.261508,train,xgboost_v1
0.27,0.757238,0.404283,0.502061,0.447898,0.24357,train,xgboost_v1
0.28,0.764606,0.413465,0.478199,0.443483,0.226842,train,xgboost_v1
0.29,0.771391,0.42306,0.455214,0.438548,0.211041,train,xgboost_v1
0.3,0.777204,0.432117,0.43266,0.432388,0.196381,train,xgboost_v1
0.31,0.78263,0.441814,0.411058,0.425882,0.182481,train,xgboost_v1
0.32,0.787357,0.451297,0.389976,0.418401,0.169484,train,xgboost_v1
0.33,0.79145,0.460535,0.369349,0.409933,0.1573,train,xgboost_v1
0.34,0.794879,0.469204,0.349065,0.400315,0.145914,train,xgboost_v1
0.35,0.797747,0.4774,0.329484,0.389884,0.135364,train,xgboost_v1
0.36,0.800328,0.485871,0.310091,0.378571,0.125176,train,xgboost_v1
0.37,0.802619,0.494609,0.29163,0.366918,0.115644,train,xgboost_v1
0.38,0.804604,0.503454,0.274456,0.35525,0.106922,train,xgboost_v1
0.39,0.806608,0.513909,0.258314,0.343812,0.098586,train,xgboost_v1
0.4,0.808012,0.522811,0.242281,0.331116,0.090892,train,xgboost_v1
0.41,0.809217,0.531961,0.227075,0.318285,0.083723,train,xgboost_v1
0.42,0.81022,0.541337,0.212141,0.304826,0.076862,train,xgboost_v1
0.43,0.810926,0.550097,0.197629,0.290788,0.070463,train,xgboost_v1
0.44,0.811536,0.559578,0.183656,0.276548,0.064372,train,xgboost_v1
0.45,0.811838,0.567995,0.169778,0.261417,0.058626,train,xgboost_v1
0.46,0.812108,0.577379,0.156792,0.246614,0.053262,train,xgboost_v1
0.47,0.812348,0.587895,0.144623,0.23214,0.048249,train,xgboost_v1
0.48,0.812353,0.597534,0.132558,0.216981,0.043511,train,xgboost_v1
0.49,0.812224,0.606778,0.121083,0.201881,0.039139,train,xgboost_v1
0.5,0.811943,0.615387,0.109821,0.186381,0.035002,train,xgboost_v1
0.51,0.811781,0.62681,0.099738,0.172093,0.031209,train,xgboost_v1
0.52,0.811441,0.636453,0.090072,0.15781,0.027757,train,xgboost_v1
0.53,0.811017,0.645222,0.081,0.143931,0.024622,train,xgboost_v1
0.54,0.810558,0.654658,0.07221,0.130073,0.021634,train,xgboost_v1
0.55,0.810143,0.665556,0.064327,0.117315,0.018957,train,xgboost_v1
0.56,0.80969,0.676691,0.05686,0.104906,0.016481,train,xgboost_v1
0.57,0.809179,0.685309,0.050087,0.093352,0.014335,train,xgboost_v1
0.58,0.808674,0.694497,0.04377,0.08235,0.012361,train,xgboost_v1
0.59,0.808223,0.706104,0.038057,0.072222,0.010571,train,xgboost_v1
0.6,0.807802,0.716439,0.033211,0.06348,0.009092,train,xgboost_v1
0.61,0.807428,0.730624,0.028772,0.055364,0.007724,train,xgboost_v1
0.62,0.806996,0.740337,0.02458,0.047581,0.006512,train,xgboost_v1
0.63,0.80665,0.755484,0.020988,0.040842,0.005449,train,xgboost_v1
0.64,0.806244,0.764198,0.017535,0.034283,0.0045,train,xgboost_v1
0.65,0.805885,0.773998,0.014542,0.028548,0.003685,train,xgboost_v1
0.66,0.805594,0.78622,0.012099,0.023832,0.003018,train,xgboost_v1
0.67,0.805252,0.784972,0.009731,0.019224,0.002431,train,xgboost_v1
0.68,0.804979,0.788229,0.007764,0.015377,0.001932,train,xgboost_v1
0.69,0.804805,0.801622,0.006367,0.012633,0.001558,train,xgboost_v1
0.7,0.804634,0.814638,0.005074,0.010084,0.001222,train,xgboost_v1
